ItemID;SystemID;Buying;Selling
EnormousMetalCog;Vomichudxxx;918;0
Fusion Accelerant;Vomichudxxx;0;1748613
Dirt;Vomichudxxx;0;1618
Unrefined Pyrite Grease;Vomichudxxx;0;9055
Bromide Salt;Vomichudxxx;0;20455
Polyulmatic Zirconium;Vomichudxxx;0;37669
Re-latticed Arc Crystal;Vomichudxxx;0;60602
Self-Reparing Heridium;Husovex;5534;0
Nanotude Crate;Husovex;882;0
Decrypted User Data;Husovex;0;1741
Star Silk;Husovex;0;9747
Comet Droplets;Husovex;0;21558
Ion Sphere;Husovex;0;39402
Teleport Coordinators;Husovex;0;62709
Self-Reparing Heridium;Algoprio X;5635;0
Nanotude Crate;Algoprio X;901;0
Optical Solvent;Algoprio X;14784;0
Decrypted User Data;Algoprio X;0;1754
Star Silk;Algoprio X;0;9817
Comet Droplets;Algoprio X;0;21681
Ion Sphere;Algoprio X;0;39534
Teleport Coordinators;Algoprio X;0;63081
EnormousMetalCog;Otdyakhxxx;779;0
Non-Stick Piston;Otdyakhxxx;5007;0
Six-Pronged Mesh Decoupler;Otdyakhxxx;13623;0
Dirt;Otdyakhxxx;0;1736
Unrefined Pyrite Grease;Otdyakhxxx;0;9636
Bromide Salt;Otdyakhxxx;0;21509
Polyulmatic Zirconium;Otdyakhxxx;0;39138
Re-latticed Arc Crystal;Otdyakhxxx;0;61918
Self-Reparing Heridium;Lugach;4665;0
Nanotude Crate;Lugach;716;0
Decrypted User Data;Lugach;0;1507
Star Silk;Lugach;0;8571
Comet Droplets;Lugach;0;19295
Ion Sphere;Lugach;0;36547
Teleport Coordinators;Lugach;0;59288
Decommissioned Circuit Board;Eslavas-Hig;957;0
Non-Stick Piston;Eslavas-Hig;0;10143
Six-Pronged Mesh Decoupler;Eslavas-Hig;0;22388
Holographic Crankshaft;Eslavas-Hig;0;40283
High Capacity VC;Eslavas-Hig;0;64166
Spark Canister;Noslovan;877;0
Industrial-Grade Battary;Noslovan;5525;0
Ohmic Gel;Noslovan;14470;0
Quantum Accelerator;Noslovan;0;63388
Decommissioned Circuit Board;Noslovan;0;1852
Welding Soap;Noslovan;0;10238
Ion Capacitor;Noslovan;0;22359
Autonomous Positining Unit;Noslovan;0;40651
EnormousMetalCog;Sovadby-Esus XVI;732;0
Non-Stick Piston;Sovadby-Esus XVI;4814;0
Six-Pronged Mesh Decoupler;Sovadby-Esus XVI;13237;0
Dirt;Sovadby-Esus XVI;0;1898
Unrefined Pyrite Grease;Sovadby-Esus XVI;0;10445
Bromide Salt;Sovadby-Esus XVI;0;22886
Polyulmatic Zirconium;Sovadby-Esus XVI;0;41100
Re-latticed Arc Crystal;Sovadby-Esus XVI;0;65175
De-Scented Pheromone Bottle;Yayeetus;941;0
Neutron Microscope;Yayeetus;5887;0
Instability Injector;Yayeetus;15020;0
Five Demensional Trous ;Yayeetus;0;37936
Superconducting Fibre;Yayeetus;0;61030
De-Scented Pheromone Bottle;Skiyevkar;744;0
Neutron Microscope;Skiyevkar;4786;0
Instability Injector;Skiyevkar;13337;0
Organic piping;Skiyevkar;28813;0
Five Demensional Trous ;Skiyevkar;0;39309
Superconducting Fibre;Skiyevkar;0;62825
Self-Reparing Heridium;Skiyevkar;0;9816
Nanotude Crate;Skiyevkar;0;1785
Optical Solvent;Skiyevkar;0;21825
Decrypted User Data;Triyeve-Pipo;827;0
Star Silk;Triyeve-Pipo;5277;0
Comet Droplets;Triyeve-Pipo;14128;0
De-Scented Pheromone Bottle;Triyeve-Pipo;0;1890
Neutron Microscope;Triyeve-Pipo;0;10477
Instability Injector;Triyeve-Pipo;0;22891
Organic piping;Triyeve-Pipo;0;41394
Neural Duct;Triyeve-Pipo;0;64879
De-Scented Pheromone Bottle;Tekumskyxx;925;0
Neutron Microscope;Tekumskyxx;5784;0
Instability Injector;Tekumskyxx;14816;0
Five Demensional Trous ;Tekumskyxx;0;39081
Superconducting Fibre;Tekumskyxx;0;62958
Self-Reparing Heridium;Tekumskyxx;0;9720
Nanotude Crate;Tekumskyxx;0;1753
Optical Solvent;Tekumskyxx;0;21732
Dirt;Berekhov;855;0
Unrefined Pyrite Grease;Berekhov;5409;0
Bromide Salt;Berekhov;14379;0
Polyulmatic Zirconium;Berekhov;30141;0
Fusion Core;Berekhov;0;62099
Decommissioned Circuit Board;Natamiossk XIX;834;0
Welding Soap;Natamiossk XIX;5259;0
Ion Capacitor;Natamiossk XIX;14176;0
Autonomous Positining Unit;Natamiossk XIX;29773;0
Non-Stick Piston;Natamiossk XIX;0;9935
Six-Pronged Mesh Decoupler;Natamiossk XIX;0;22063
Holographic Crankshaft;Natamiossk XIX;0;39906
High Capacity VC;Natamiossk XIX;0;63751
Non-Stick Piston;Muryung VI;4818;0
Six-Pronged Mesh Decoupler;Muryung VI;13316;0
Dirt;Muryung VI;0;1615
Unrefined Pyrite Grease;Muryung VI;0;9122
Bromide Salt;Muryung VI;0;20371
Polyulmatic Zirconium;Muryung VI;0;37843
Re-latticed Arc Crystal;Muryung VI;0;60235
Non-Stick Piston;Zoyvayander XI;5517;0
Six-Pronged Mesh Decoupler;Zoyvayander XI;14560;0
Dirt;Zoyvayander XI;0;1880
Unrefined Pyrite Grease;Zoyvayander XI;0;10353
Bromide Salt;Zoyvayander XI;0;22720
Polyulmatic Zirconium;Zoyvayander XI;0;40855
Re-latticed Arc Crystal;Zoyvayander XI;0;64837
Self-Reparing Heridium;IvdelabI;5318;0
Nanotude Crate;IvdelabI;844;0
Optical Solvent;IvdelabI;14214;0
Decrypted User Data;IvdelabI;0;1696
Star Silk;IvdelabI;0;9567
Comet Droplets;IvdelabI;0;21230
Ion Sphere;IvdelabI;0;38534
Teleport Coordinators;IvdelabI;0;62221
Self-Reparing Heridium;Chaross;4697;0
Nanotude Crate;Chaross;722;0
Optical Solvent;Chaross;13207;0
Decrypted User Data;Chaross;0;1691
Star Silk;Chaross;0;9417
Comet Droplets;Chaross;0;21164
Ion Sphere;Chaross;0;38659
Teleport Coordinators;Chaross;0;62109
Dirt;Ruppun;794;0
Unrefined Pyrite Grease;Ruppun;5100;0
Bromide Salt;Ruppun;13834;0
Polyulmatic Zirconium;Ruppun;29346;0
Re-latticed Arc Crystal;Ruppun;49984;0
Ohmic Gel;Ruppun;0;22263
Fusion Core;Ruppun;0;64282
Experimental Power Fluid;Ruppun;0;40117
Dirt;Uruslant;809;0
Unrefined Pyrite Grease;Uruslant;5124;0
Bromide Salt;Uruslant;13968;0
Spark Canister;Uruslant;0;1872
Industrial-Grade Battary;Uruslant;0;10447
Ohmic Gel;Uruslant;0;22804
Fusion Core;Uruslant;0;64946
Experimental Power Fluid;Uruslant;0;41187
Five Demensional Trous ;Dubnag-Riwic;28238;0
Self-Reparing Heridium;Dubnag-Riwic;4722;0
Nanotude Crate;Dubnag-Riwic;717;0
Optical Solvent;Dubnag-Riwic;13199;0
Decrypted User Data;Dubnag-Riwic;0;1645
Star Silk;Dubnag-Riwic;0;9313
Comet Droplets;Dubnag-Riwic;0;20526
Ion Sphere;Dubnag-Riwic;0;38192
Teleport Coordinators;Dubnag-Riwic;0;61163
Spark Canister;Archaish;795;0
Industrial-Grade Battary;Archaish;5024;0
Ohmic Gel;Archaish;13846;0
Quantum Accelerator;Archaish;0;59828
Welding Soap;Archaish;0;9030
Ion Capacitor;Archaish;0;20427
Autonomous Positining Unit;Archaish;0;37914
