ItemID;SystemID;Buying;Selling
Autonomous Positioning Unit;Angelsk ;0;40111
Decommissioned Circuit Board;Angelsk ;0;1817
Ion Capacitor;Angelsk ;0;22168
Quantum Accelerator;Angelsk ;0;63519
Spark Canister;Angelsk ;782;0
Welding Soap;Angelsk ;0;10051
Comet Droplets;Danogda;0;18076
Decrypted User Data;Danogda;0;1512
Five Dimensional Torus;Danogda;28301;0
Ion Sphere;Danogda;0;34708
Nanotube Crate;Danogda;723;0
Optical Solvent;Danogda;13233;0
Self-Repairing Heridium;Danogda;4664;0
Spark Canister;Danogda;0;23726
Star Silk;Danogda;0;8961
Superconducting Fiber;Danogda;48839;0
Teleport Coordinators;Danogda;0;59687
Autonomous Positioning Unit;Davliaiut;29706;0
Decommissioned Circuit Board;Davliaiut;840;0
Enormous Metal Cog;Davliaiut;0;1915
High Capacity Vector Compressor;Davliaiut;0;64329
Holographic Crankshaft;Davliaiut;0;41507
Ion Capacitor;Davliaiut;14181;0
Non-Stick Piston;Davliaiut;0;10561
Six-Pronged Mesh Decoupler;Davliaiut;0;22844
Welding Soap;Davliaiut;5206;0
Decrypted User Data;Ekinov;929;0
De-Scented Pheromone Bottle;Ekinov;0;1841
Instability Injector;Ekinov;0;22286
Neural Duct;Ekinov;0;64168
Neutron Microscope;Ekinov;0;10303
Organic Piping;Ekinov;0;40363
Star Silk;Ekinov;5773;0
Comet Droplets;Haiuts-Desyn;14109;0
Decrypted User Data;Haiuts-Desyn;821;0
De-Scented Pheromone Bottle;Haiuts-Desyn;0;1920
Instability Injector;Haiuts-Desyn;0;22749
Ion Sphere;Haiuts-Desyn;29711;0
Neural Duct;Haiuts-Desyn;0;64841
Neutron Microscope;Haiuts-Desyn;0;10598
Organic Piping;Haiuts-Desyn;0;41352
Star Silk;Haiuts-Desyn;5230;0
Teleport Coordinators;Haiuts-Desyn;50621;0
Bromide Salt;Isselbu IV;13779;0
Dirt;Isselbu IV;779;0
Experemental Power Fluid;Isselbu IV;0;38755
Fusion Core;Isselbu IV;0;61706
Industrial-Grade Battery;Isselbu IV;0;9473
Ohmic Gel;Isselbu IV;0;21100
Polychromic Zirconium;Isselbu IV;29330;0
Spark Canister;Isselbu IV;0;1680
Unrefined Pyrite Grease;Isselbu IV;5000;0
De-Scented Pheromone Bottle;Koyano-Noqabg;812;0
Neutron Microscope;Koyano-Noqabg;5213;0
Instability Injector;Koyano-Noqabg;14071;0
Organic Piping;Koyano-Noqabg;29285;0
Nanotube Crate;Koyano-Noqabg;0;1733
Self-Repairing Heridium;Koyano-Noqabg;0;9476
Optical Solvent;Koyano-Noqabg;0;21339
Five Dimensional Torus;Koyano-Noqabg;0;38648
Superconducting Fiber;Koyano-Noqabg;0;61722
Nanotube Crate;Rugunpo VIII;768;0
Self-Repairing Heridium;Rugunpo VIII;4927;0
Optical Solvent;Rugunpo VIII;13583;0
Five Dimensional Torus;Rugunpo VIII;28744;0
Decrypted User Data;Rugunpo VIII;0;1809
Star Silk;Rugunpo VIII;0;10044
Comet Droplets;Rugunpo VIII;0;21965
Ion Sphere;Rugunpo VIII;0;40309
Teleport Coordinators;Rugunpo VIII;0;63478
Dirt;Vameshai;774;0
Unrefined Pyrite Grease;Vameshai;4981;0
Spark Canister;Vameshai;0;1831
Industrial-Grade Battery;Vameshai;0;10221
Ohmic Gel;Vameshai;0;22265
Experemental Power Fluid;Vameshai;0;40506
Fusion Core;Vameshai;0;63606
